yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,91,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,101,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,13118,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,308,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,13924908,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,218409,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,14596,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Morocco, Morocco,29,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,670,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,1245448,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,11847374,29.2733964,47.4979476,,
2011,2011,Export,Kuwait,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,584764,29.2733964,47.4979476,,
