yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,315947,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,91679,31.1667049,36.941628,51.67568633314729,27.673469819741847
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,25721,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,167616,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,30043,31.1667049,36.941628,59.36075159783851,25.01346951967388
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,74390,31.1667049,36.941628,6.06272746187266,22.727528470146083
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,177971,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,34313,31.1667049,36.941628,26.42921218083572,52.86847103284948
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,78542,31.1667049,36.941628,47.92172048214207,7.866753258497997
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,62525870,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,137261,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,48717046,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,1315259,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,2135041,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,1223253,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,163201,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,2298805,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,2891678,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, State of Palestine, State of Palestine,26899,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,562963,31.1667049,36.941628,,
2006,2006,Export,Jordan,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,171032,31.1667049,36.941628,,
