yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2004.0,2004.0,Export,Syria,1.0,Live animals,World,World,1099502133.0,,,,,12004Syria,World,World,82952469.0
2004.0,2004.0,Export,Syria,3.0,"Fish, crustaceans, molluscs, aquatic invertebrates nes",World,World,230557.0,,,,,32004Syria,World,World,5849631.0
2004.0,2004.0,Export,Syria,4.0,"Dairy products, eggs, honey, edible animal product nes",World,World,68525988.0,,,,,42004Syria,World,World,256187219.0
2004.0,2004.0,Export,Syria,5.0,"Products of animal origin, nes",World,World,19973216.0,,,,,52004Syria,World,World,4256844.0
2004.0,2004.0,Export,Syria,6.0,"Live trees, plants, bulbs, roots, cut flowers etc",World,World,3338179.0,,,,,62004Syria,World,World,613364.0
2004.0,2004.0,Export,Syria,7.0,Edible vegetables and certain roots and tubers,World,World,410319399.0,,,,,72004Syria,World,World,93408699.0
2004.0,2004.0,Export,Syria,8.0,"Edible fruit, nuts, peel of citrus fruit, melons",World,World,150168522.0,,,,,82004Syria,World,World,189593973.0
2004.0,2004.0,Export,Syria,9.0,"Coffee, tea, mate and spices",World,World,122295337.0,,,,,92004Syria,World,World,432519167.0
2004.0,2004.0,Export,Syria,10.0,Cereals,World,World,627115553.0,,,,,102004Syria,World,World,1202230401.0
2004.0,2004.0,Export,Syria,11.0,"Milling products, malt, starches, inulin, wheat gluten",World,World,27022047.0,,,,,112004Syria,World,World,16601184.0
2004.0,2004.0,Export,Syria,12.0,"Oil seed, oleagic fruits, grain, seed, fruit, etc, nes",World,World,44456373.0,,,,,122004Syria,World,World,418082797.0
2004.0,2004.0,Export,Syria,14.0,"Vegetable plaiting materials, vegetable products nes",World,World,33042636.0,,,,,142004Syria,World,World,1603031.0
2004.0,2004.0,Export,Syria,15.0,"Animal,vegetable fats and oils, cleavage products, etc",World,World,170487395.0,,,,,152004Syria,World,World,363107922.0
2004.0,2004.0,Export,Syria,16.0,"Meat, fish and seafood food preparations nes",World,World,1237151.0,,,,,162004Syria,World,World,105071079.0
2004.0,2004.0,Export,Syria,17.0,Sugars and sugar confectionery,World,World,50252106.0,,,,,172004Syria,World,World,873859105.0
2004.0,2004.0,Export,Syria,18.0,Cocoa and cocoa preparations,World,World,18661945.0,,,,,182004Syria,World,World,32323703.0
2004.0,2004.0,Export,Syria,19.0,"Cereal, flour, starch, milk preparations and products",World,World,48015220.0,,,,,192004Syria,World,World,46383948.0
2004.0,2004.0,Export,Syria,20.0,"Vegetable, fruit, nut, etc food preparations",World,World,99344121.0,,,,,202004Syria,World,World,32784729.0
2004.0,2004.0,Export,Syria,21.0,Miscellaneous edible preparations,World,World,25708281.0,,,,,212004Syria,World,World,89414751.0
2004.0,2004.0,Export,Syria,22.0,"Beverages, spirits and vinegar",World,World,227125079.0,,,,,222004Syria,World,World,18361187.0
2004.0,2004.0,Export,Syria,23.0,"Residues, wastes of food industry, animal fodder",World,World,78409834.0,,,,,232004Syria,World,World,442030629.0
2004.0,2004.0,Export,Syria,24.0,Tobacco and manufactured tobacco substitutes,World,World,10924382.0,,,,,242004Syria,World,World,245683861.0
2004.0,2004.0,Export,Syria,25.0,"Salt, sulphur, earth, stone, plaster, lime and cement",World,World,203855733.0,,,,,252004Syria,World,World,425511405.0
2004.0,2004.0,Export,Syria,27.0,"Mineral fuels, oils, distillation products, etc",World,World,14998204201.0,,,,,272004Syria,World,World,2127570122.0
