yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,13112,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,5225,31.17,-7.33,17.925141963241547,-78.01492950057497
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,65,31.17,-7.33,59.36075159783851,25.01346951967388
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,24178,31.17,-7.33,10.528384761701911,103.08333472012376
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,109705,31.17,-7.33,40.12399607988535,20.742583178432696
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,413371,31.17,-7.33,6.06272746187266,22.727528470146083
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,7515,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,93586,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4281,31.17,-7.33,47.92172048214207,7.866753258497997
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1135788,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,1518,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,7797,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,454952,31.17,-7.33,,
2017,2017,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,453,31.17,-7.33,,
