yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Re-Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8516482,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Re-Export,Qatar,China,64,Footwear; gaiters and the like; parts of such articles,79782,25.3336984,51.2295295,35.000074,104.999927
2019,2019,Re-Export,Qatar,France,64,Footwear; gaiters and the like; parts of such articles,226914,25.3336984,51.2295295,46.603354,1.8883335
2019,2019,Re-Export,Qatar,Italy,64,Footwear; gaiters and the like; parts of such articles,1824738,25.3336984,51.2295295,42.6384261,12.674297
2019,2019,Re-Export,Qatar,Kuwait,64,Footwear; gaiters and the like; parts of such articles,2986763,25.3336984,51.2295295,29.2733964,47.4979476
2019,2019,Re-Export,Qatar,Oman,64,Footwear; gaiters and the like; parts of such articles,2352239,25.3336984,51.2295295,21.0000287,57.0036901
2019,2019,Re-Export,Qatar,South Africa,64,Footwear; gaiters and the like; parts of such articles,42820,25.3336984,51.2295295,-28.8166236,24.991639
2019,2019,Re-Export,Qatar,Spain,64,Footwear; gaiters and the like; parts of such articles,111841,25.3336984,51.2295295,39.3260685,-4.8379791
2019,2019,Re-Export,Qatar,Switzerland,64,Footwear; gaiters and the like; parts of such articles,289759,25.3336984,51.2295295,46.7985624,8.2319736
2019,2019,Re-Export,Qatar,Turkey,64,Footwear; gaiters and the like; parts of such articles,260729,25.3336984,51.2295295,38.9597594,34.9249653
2019,2019,Re-Export,Qatar,United Kingdom,64,Footwear; gaiters and the like; parts of such articles,340892,25.3336984,51.2295295,54.7023545,-3.2765753
