yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,80715,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,12830,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,6367050,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,3614,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,32149,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,5937501,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,10899,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,59,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,144111,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,110409,26.1551249,50.5344606,,
2004,2004,Export,Bahrain,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,20144,26.1551249,50.5344606,,
