yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,5000,33.87,35.84,51.67568633314729,27.673469819741847
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1000,33.87,35.84,17.925141963241547,-78.01492950057497
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1000,33.87,35.84,43.897683433510366,-100.08947125585888
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,3000,33.87,35.84,59.36075159783851,25.01346951967388
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,16000,33.87,35.84,40.12399607988535,20.742583178432696
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,158000,33.87,35.84,6.06272746187266,22.727528470146083
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4000,33.87,35.84,47.92172048214207,7.866753258497997
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,405000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,2000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,85000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,14000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,5000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,17000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,39000,33.87,35.84,,
2005,2005,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,4000,33.87,35.84,,
