yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1071881,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2017348,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,39101,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,352067,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,91,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1170446,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,402473,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,198696,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,88,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,321977,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1292,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,139136,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2229691,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,13919846,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,215213,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,795948,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,567,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,62167,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1611852,26.1551249,50.5344606,,
2019,2019,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1201521,26.1551249,50.5344606,,
