yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,86,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,271554,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,471814,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1713399,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,531,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1681123,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,159,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,18919,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,2168532,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,7792271,35.8885993,14.4476911,,
2010,2010,Import,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,448017,35.8885993,14.4476911,,
