yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,13244,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,94307,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,106911,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin,World,World,1014691,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,12447,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,1629,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,174009,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,186,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Israel, Israel,1605,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,8673,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,56969,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,1077,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,4417,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,99045,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,35891,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,277972,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,122521,35.8885993,14.4476911,,
2004,2004,Export,Malta,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,3790,35.8885993,14.4476911,,
