yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,69,,,-16.85099460447687,133.4130365630627
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,1280022,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,34,,,43.897683433510366,-100.08947125585888
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,174440,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,691147,,,26.42921218083572,52.86847103284948
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,18059251,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Algeria, Algeria,3785734,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,5511686,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,5121276,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,604,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,1261257,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,861,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,146929,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,24579,,,,
2010,2010,Export,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,9094,,,,
