yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,1023,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,394914,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2380,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,247033,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,7589,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,41985,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,676,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,6850563,33.7680065,66.2385139,,
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,13736,33.7680065,66.2385139,,
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,6121413,33.7680065,66.2385139,,
2017,2017,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,2516,33.7680065,66.2385139,,
