yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,98175,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,395086,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,87646,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,28198,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,22872,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,380491,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,827576,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Polynesia,Oceania,41960,24.0002488,53.9994829,-5.109184731250752,167.40343615892436
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,154265,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2292025,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,33632,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,13429152,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1908995,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,4792,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2005,2005,Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,63764573,24.0002488,53.9994829,,
