yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,15300021,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,Bahrain,64,Footwear; gaiters and the like; parts of such articles,3267936,,,26.1551249,50.5344606
2018,2018,Export,Saudi Arabia,Chad,64,Footwear; gaiters and the like; parts of such articles,5168,,,,
2018,2018,Export,Saudi Arabia,China,64,Footwear; gaiters and the like; parts of such articles,293533,,,35.000074,104.999927
2018,2018,Export,Saudi Arabia,Dem. Rep. of the Congo,64,Footwear; gaiters and the like; parts of such articles,365982,,,,
2018,2018,Export,Saudi Arabia,Benin,64,Footwear; gaiters and the like; parts of such articles,24453,,,9.5293472,2.2584408
2018,2018,Export,Saudi Arabia,Ethiopia,64,Footwear; gaiters and the like; parts of such articles,20512,,,10.2116702,38.6521203
2018,2018,Export,Saudi Arabia,Djibouti,64,Footwear; gaiters and the like; parts of such articles,2890,,,11.8145966,42.8453061
2018,2018,Export,Saudi Arabia,Guinea,64,Footwear; gaiters and the like; parts of such articles,13860,,,10.7226226,-10.7083587
2018,2018,Export,Saudi Arabia,Italy,64,Footwear; gaiters and the like; parts of such articles,1344472,,,42.6384261,12.674297
2018,2018,Export,Saudi Arabia,Jordan,64,Footwear; gaiters and the like; parts of such articles,121072,,,31.1667049,36.941628
2018,2018,Export,Saudi Arabia,Kenya,64,Footwear; gaiters and the like; parts of such articles,5309,,,1.4419683,38.4313975
2018,2018,Export,Saudi Arabia,Kuwait,64,Footwear; gaiters and the like; parts of such articles,1062396,,,29.2733964,47.4979476
2018,2018,Export,Saudi Arabia,Lebanon,64,Footwear; gaiters and the like; parts of such articles,164456,,,33.8750629,35.843409
2018,2018,Export,Saudi Arabia,Mauritius,64,Footwear; gaiters and the like; parts of such articles,32697,,,-20.2759451,57.5703566
2018,2018,Export,Saudi Arabia,Oman,64,Footwear; gaiters and the like; parts of such articles,670008,,,21.0000287,57.0036901
2018,2018,Export,Saudi Arabia,Nigeria,64,Footwear; gaiters and the like; parts of such articles,124325,,,9.6000359,7.9999721
2018,2018,Export,Saudi Arabia,Pakistan,64,Footwear; gaiters and the like; parts of such articles,2924,,,30.3308401,71.247499
2018,2018,Export,Saudi Arabia,Somalia,64,Footwear; gaiters and the like; parts of such articles,8688,,,8.3676771,49.083416
2018,2018,Export,Saudi Arabia,Spain,64,Footwear; gaiters and the like; parts of such articles,500633,,,39.3260685,-4.8379791
2018,2018,Export,Saudi Arabia,Sudan,64,Footwear; gaiters and the like; parts of such articles,146052,,,14.5844444,29.4917691
2018,2018,Export,Saudi Arabia,Switzerland,64,Footwear; gaiters and the like; parts of such articles,31623,,,46.7985624,8.2319736
2018,2018,Export,Saudi Arabia,Thailand,64,Footwear; gaiters and the like; parts of such articles,12697,,,14.8971921,100.83273
2018,2018,Export,Saudi Arabia,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,6768136,,,24.0002488,53.9994829
2018,2018,Export,Saudi Arabia,Turkey,64,Footwear; gaiters and the like; parts of such articles,44460,,,38.9597594,34.9249653
2018,2018,Export,Saudi Arabia,Egypt,64,Footwear; gaiters and the like; parts of such articles,24360,,,26.2540493,29.2675469
2018,2018,Export,Saudi Arabia,United Kingdom,64,Footwear; gaiters and the like; parts of such articles,65313,,,54.7023545,-3.2765753
2018,2018,Export,Saudi Arabia,United Rep. of Tanzania,64,Footwear; gaiters and the like; parts of such articles,45572,,,,
2018,2018,Export,Saudi Arabia,Yemen,64,Footwear; gaiters and the like; parts of such articles,130483,,,16.3471243,47.8915271
