yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2111961,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,8257142,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,13297785,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,229819229,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,7742896,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,3541319,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,11789428,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,53984370,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Polynesia,Oceania,3638,38.9597594,34.9249653,-5.109184731250752,167.40343615892436
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,2479172,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,38928494,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,37983953,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,4456083,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,3300050,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,5953808,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,54146951,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,528842651,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Afghanistan, Afghanistan,10049,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Algeria, Algeria,5613614,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Azerbaijan, Azerbaijan,1085264,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Bahrain, Bahrain,26474,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Cyprus, Cyprus,429303,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Georgia, Georgia,1870207,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Iraq, Iraq,3004947,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,4451713,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,2198685,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Kuwait, Kuwait,2419897,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,5543188,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Libya, Libya,544701,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Malta, Malta,146525,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Mauritania, Mauritania,818612,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,4581608,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Oman, Oman,59102,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,330981,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Qatar, Qatar,168149,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,7057648,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,State of Palestine, State of Palestine,241710,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,3746744,38.9597594,34.9249653,,
2011,2011,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Yemen, Yemen,210368,38.9597594,34.9249653,,
