yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,5396,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1920,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,3283386,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,255017,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,15201,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,1900,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,10191,31.1667049,36.941628,,
2005,2005,Re-Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,27705,31.1667049,36.941628,,
