yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,11992156,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,38255,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,83827,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,538387,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,116271,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,980318,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,4657858,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1278092,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,72269,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,279026,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,64580,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1223104,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,11757839,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,85196306,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,192079,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,49734,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,577619,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,298965,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,227542,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,832094,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,2551,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,606,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,47962973,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,652164,26.1551249,50.5344606,,
2006,2006,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,105750,26.1551249,50.5344606,,
