yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,14601,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,31954,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,21481,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,12610,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,5623,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,44993,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,59074,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,World,World,913551,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,10678,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Cyprus, Cyprus,797,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Djibouti, Djibouti,16288,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,4645,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,34835,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,5116,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Libya, Libya,2416,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,7648,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,11361,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,34357,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,348518,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,184481,35.8885993,14.4476911,,
2003,2003,Export,Malta,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,62043,35.8885993,14.4476911,,
