yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,26300,31.1667049,36.941628,37.977378106878206,73.97804075806764
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,553910,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,120839,31.1667049,36.941628,6.06272746187266,22.727528470146083
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,36480,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1317923,31.1667049,36.941628,26.42921218083572,52.86847103284948
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,39903,31.1667049,36.941628,47.92172048214207,7.866753258497997
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5765108,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,538317,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,24535,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,26761,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,279469,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Morocco, Morocco,26975,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,1795106,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, State of Palestine, State of Palestine,381131,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,9070,31.1667049,36.941628,,
2016,2016,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,80114,31.1667049,36.941628,,
