yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,143981,,,37.977378106878206,73.97804075806764
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,613665,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,1595641,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,353140,,,59.36075159783851,25.01346951967388
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,53213,,,10.528384761701911,103.08333472012376
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,258302,,,25.499703063807168,75.5024015339642
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1171373,,,40.12399607988535,20.742583178432696
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,69382,,,6.06272746187266,22.727528470146083
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,9678278,,,26.42921218083572,52.86847103284948
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1803656,,,47.92172048214207,7.866753258497997
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,21515818,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,341,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,31203,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,178877,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,24518,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,275694,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,3395787,,,,
2009,2009,Import,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,10530,,,,
