yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,693667,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,24338,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,2565,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1164306,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,11364359,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3122750,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,4148497,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,27582224,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,127168,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Israel, Israel,5785,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,328358,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1896309,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,713137,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,22660,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,76509,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,1499702,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,2236880,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,155236,34.9823018,33.1451285,,
