yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,6238102,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,7245148,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,3983901,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,3826964,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,5208866,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,669394,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,11537658,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,165480,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,327647,38.9597594,34.9249653,,
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,8817195,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,54643332,38.9597594,34.9249653,,
2013,2013,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Israel, Israel,1411,38.9597594,34.9249653,,
