yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,107098,33.87,35.84,-16.85099460447687,133.4130365630627
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1432443,33.87,35.84,37.977378106878206,73.97804075806764
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,382041,33.87,35.84,51.67568633314729,27.673469819741847
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,365210,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,288462,33.87,35.84,17.925141963241547,-78.01492950057497
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1794857,33.87,35.84,43.897683433510366,-100.08947125585888
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1011671,33.87,35.84,59.36075159783851,25.01346951967388
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2515132,33.87,35.84,10.528384761701911,103.08333472012376
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,15937,33.87,35.84,25.499703063807168,75.5024015339642
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3710651,33.87,35.84,40.12399607988535,20.742583178432696
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,10149,33.87,35.84,6.06272746187266,22.727528470146083
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,28,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2757177,33.87,35.84,26.42921218083572,52.86847103284948
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,5948245,33.87,35.84,47.92172048214207,7.866753258497997
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,23006269,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,254329,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,837,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,3879,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,5428,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1662540,33.87,35.84,,
2011,2011,Import,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,94976,33.87,35.84,,
