yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,106,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,111329,26.1551249,50.5344606,,
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,5585,26.1551249,50.5344606,,
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,28186,26.1551249,50.5344606,,
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,42029,26.1551249,50.5344606,,
2011,2011,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,130,26.1551249,50.5344606,,
