yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,1173116,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,17412,,,17.925141963241547,-78.01492950057497
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,2551,,,43.897683433510366,-100.08947125585888
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,9016,,,59.36075159783851,25.01346951967388
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,109,,,40.12399607988535,20.742583178432696
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,4153,,,6.06272746187266,22.727528470146083
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,74237,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1111,,,47.92172048214207,7.866753258497997
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin,World,World,13846200,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,140668,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,5429510,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,5806508,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,5751,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,620729,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,11326,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Morocco, Morocco,29,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,502827,,,,
2006,2006,Export,Syria,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,7643,,,,
