yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,21000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,479000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,4786000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,43000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,434000,30.8124247,34.8594762,19.569604022535763,12.47761721199581
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,13358000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6785000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,39000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,16797000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,597000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,34273000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,13703000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2002,2002,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,97149000,30.8124247,34.8594762,,
