yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,384,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,798,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,719981,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,143541,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,36,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,8600,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,13062,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,14903,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,270296,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,206463,29.2733964,47.4979476,,
2014,2014,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,61898,29.2733964,47.4979476,,
