yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,293942,33.7680065,66.2385139,-16.85099460447687,133.4130365630627
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,119461,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,691256,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,175054,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,114731,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1898995,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1526560,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,576715,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,3767864,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,210008,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,84340,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,5730288,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,World,World,35379813,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,12866337,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,827526,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,722371,33.7680065,66.2385139,,
