yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,334354,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,4810,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,144,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1996696,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,143358,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,10153,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,3338791,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,64503,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,15243621,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,23451126,25.3336984,51.2295295,,
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Bahrain, Bahrain,16986,25.3336984,51.2295295,,
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Kuwait, Kuwait,53325,25.3336984,51.2295295,,
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,798652,25.3336984,51.2295295,,
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,1109636,25.3336984,51.2295295,,
2017,2017,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,238863,25.3336984,51.2295295,,
