yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2009,2009.0,Export,Georgia,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",286556.0,,32.3293809,-83.1137366,-36.8535712,174.7456809
2009,2009.0,Export,Georgia,Azerbaijan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",22454.0,,32.3293809,-83.1137366,40.3936294,47.7872508
2009,2009.0,Export,Georgia,Argentina,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7.0,,32.3293809,-83.1137366,-34.9964963,-64.9672817
2009,2009.0,Export,Georgia,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7961.0,,32.3293809,-83.1137366,47.59397,14.12456
2009,2009.0,Export,Georgia,Armenia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",74555.0,,32.3293809,-83.1137366,40.7696272,44.6736646
2009,2009.0,Export,Georgia,Brazil,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1.0,,32.3293809,-83.1137366,-10.3333333,-53.2
2009,2009.0,Export,Georgia,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",530.0,,32.3293809,-83.1137366,53.4250605,27.6971358
2009,2009.0,Export,Georgia,Cambodia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",55.0,,32.3293809,-83.1137366,12.5433216,104.8144914
2009,2009.0,Export,Georgia,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1329.0,,32.3293809,-83.1137366,61.0666922,-107.991707
2009,2009.0,Export,Georgia,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",200.0,,32.3293809,-83.1137366,35.000074,104.999927
2009,2009.0,Export,Georgia,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",10.0,,32.3293809,-83.1137366,55.670249,10.3333283
2009,2009.0,Export,Georgia,Ecuador,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",20.0,,32.3293809,-83.1137366,-1.3397668,-79.3666965
2009,2009.0,Export,Georgia,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2688.0,,32.3293809,-83.1137366,46.603354,1.8883335
2009,2009.0,Export,Georgia,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",56397.0,,32.3293809,-83.1137366,51.1638175,10.4478313
2009,2009.0,Export,Georgia,Israel,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",726.0,,32.3293809,-83.1137366,30.8124247,34.8594762
2009,2009.0,Export,Georgia,Kazakhstan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",50.0,,32.3293809,-83.1137366,48.1012954,66.7780818
2009,2009.0,Export,Georgia,Latvia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",18.0,,32.3293809,-83.1137366,56.8406494,24.7537645
2009,2009.0,Export,Georgia,Lithuania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",15928.0,,32.3293809,-83.1137366,55.3500003,23.7499997
2009,2009.0,Export,Georgia,Malta,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",134.0,,32.3293809,-83.1137366,35.8885993,14.4476911
2009,2009.0,Export,Georgia,Mongolia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",6.0,,32.3293809,-83.1137366,46.8250388,103.8499736
2009,2009.0,Export,Georgia,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",110.0,,32.3293809,-83.1137366,52.2434979,5.6343227
