yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,153
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,40170
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,19709857
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,1287862
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,27375560
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,5950470
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3191540
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,20243525
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1964
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,12464629
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,14433568
2002,2002,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,117113437
