yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,57136,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,152126,31.1667049,36.941628,37.977378106878206,73.97804075806764
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,88983,31.1667049,36.941628,51.67568633314729,27.673469819741847
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,825384,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,6795,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,239809,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1048516,31.1667049,36.941628,59.36075159783851,25.01346951967388
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,14288,31.1667049,36.941628,10.528384761701911,103.08333472012376
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,63650,31.1667049,36.941628,25.499703063807168,75.5024015339642
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4723560,31.1667049,36.941628,40.12399607988535,20.742583178432696
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6371,31.1667049,36.941628,6.06272746187266,22.727528470146083
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5289860,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,531738,31.1667049,36.941628,47.92172048214207,7.866753258497997
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,30720691,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,3667,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,1100,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,67109,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,150611,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,40422,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,61978,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,3026562,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,147377,31.1667049,36.941628,,
2003,2003,Import,Jordan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,5244710,31.1667049,36.941628,,
