yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2005,2005.0,Import,Oman,World,11.0,Products of the milling industry; malt; starches; inulin,23750406.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2005,2005.0,Import,Oman,Belgium,11.0,Products of the milling industry; malt; starches; inulin,96700.0,,21.0000287,57.0036901,50.6402809,4.6667145
2005,2005.0,Import,Oman,Sri Lanka,11.0,Products of the milling industry; malt; starches; inulin,254380.0,,21.0000287,57.0036901,7.5554942,80.7137847
2005,2005.0,Import,Oman,China,11.0,Products of the milling industry; malt; starches; inulin,7111.0,,21.0000287,57.0036901,35.000074,104.999927
2005,2005.0,Import,Oman,Cyprus,11.0,Products of the milling industry; malt; starches; inulin,104650.0,,21.0000287,57.0036901,34.9823018,33.1451285
2005,2005.0,Import,Oman,Denmark,11.0,Products of the milling industry; malt; starches; inulin,5404.0,,21.0000287,57.0036901,55.670249,10.3333283
2005,2005.0,Import,Oman,France,11.0,Products of the milling industry; malt; starches; inulin,979472.0,,21.0000287,57.0036901,46.603354,1.8883335
2005,2005.0,Import,Oman,Germany,11.0,Products of the milling industry; malt; starches; inulin,28226.0,,21.0000287,57.0036901,51.1638175,10.4478313
2005,2005.0,Import,Oman,Indonesia,11.0,Products of the milling industry; malt; starches; inulin,12424.0,,21.0000287,57.0036901,-2.4833826,117.8902853
2005,2005.0,Import,Oman,Italy,11.0,Products of the milling industry; malt; starches; inulin,6360962.0,,21.0000287,57.0036901,42.6384261,12.674297
2005,2005.0,Import,Oman,Japan,11.0,Products of the milling industry; malt; starches; inulin,8088.0,,21.0000287,57.0036901,36.5748441,139.2394179
2005,2005.0,Import,Oman,Lebanon,11.0,Products of the milling industry; malt; starches; inulin,1514874.0,,21.0000287,57.0036901,33.8750629,35.843409
2005,2005.0,Import,Oman,Malaysia,11.0,Products of the milling industry; malt; starches; inulin,526138.0,,21.0000287,57.0036901,4.5693754,102.2656823
2005,2005.0,Import,Oman,Malta,11.0,Products of the milling industry; malt; starches; inulin,74018.0,,21.0000287,57.0036901,35.8885993,14.4476911
2005,2005.0,Import,Oman,Netherlands,11.0,Products of the milling industry; malt; starches; inulin,33758.0,,21.0000287,57.0036901,52.2434979,5.6343227
2005,2005.0,Import,Oman,Pakistan,11.0,Products of the milling industry; malt; starches; inulin,4902.0,,21.0000287,57.0036901,30.3308401,71.247499
2005,2005.0,Import,Oman,Russian Federation,11.0,Products of the milling industry; malt; starches; inulin,4522278.0,,21.0000287,57.0036901,64.6863136,97.7453061
2005,2005.0,Import,Oman,Saudi Arabia,11.0,Products of the milling industry; malt; starches; inulin,65095.0,,21.0000287,57.0036901,25.6242618,42.3528328
2005,2005.0,Import,Oman,India,11.0,Products of the milling industry; malt; starches; inulin,1401009.0,,21.0000287,57.0036901,22.3511148,78.6677428
2005,2005.0,Import,Oman,South Africa,11.0,Products of the milling industry; malt; starches; inulin,74655.0,,21.0000287,57.0036901,-28.8166236,24.991639
2005,2005.0,Import,Oman,Spain,11.0,Products of the milling industry; malt; starches; inulin,775012.0,,21.0000287,57.0036901,39.3260685,-4.8379791
2005,2005.0,Import,Oman,Thailand,11.0,Products of the milling industry; malt; starches; inulin,1521.0,,21.0000287,57.0036901,14.8971921,100.83273
2005,2005.0,Import,Oman,United Arab Emirates,11.0,Products of the milling industry; malt; starches; inulin,5066205.0,,21.0000287,57.0036901,24.0002488,53.9994829
2005,2005.0,Import,Oman,Egypt,11.0,Products of the milling industry; malt; starches; inulin,11891.0,,21.0000287,57.0036901,26.2540493,29.2675469
2005,2005.0,Import,Oman,United Kingdom,11.0,Products of the milling industry; malt; starches; inulin,116458.0,,21.0000287,57.0036901,54.7023545,-3.2765753
2005,2005.0,Import,Oman,United Rep. of Tanzania,11.0,Products of the milling industry; malt; starches; inulin,1430923.0,,21.0000287,57.0036901,,
2005,2005.0,Import,Oman,USA,11.0,Products of the milling industry; malt; starches; inulin,270062.0,,21.0000287,57.0036901,39.7837304,-100.445882
2005,2005.0,Import,Oman,Yemen,11.0,Products of the milling industry; malt; starches; inulin,4190.0,,21.0000287,57.0036901,16.3471243,47.8915271
