yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,12640,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2012,2012,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,10424,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2012,2012,Re-Export,Qatar,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,105047,25.3336984,51.2295295,,
