yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,2351426,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,172296,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,16837852,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,25586384,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,1408072,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,15776554,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,3960198,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,23182439,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,8220,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4075919,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,17155374,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,6784778,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1335833,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,20390592,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2003,2003,Import,Turkey,25,Salt; sulfur; earths and stone; plastering materials,World,World,158482123,38.9597594,34.9249653,,
