yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,6560263,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,2887,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,10252191,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,2471017,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,39532,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,3631748,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,572290,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1429029,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,6666131,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1534289,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,13235,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,6686321,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,691762,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2010,2010,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,51522506,21.0000287,57.0036901,,
