yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,9000240,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,14161558,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,108824,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,197983,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2741963,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,286421,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,24851,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,878639,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,18993,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,921036,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,World,World,112488429,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Armenia, Armenia,2948,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,1233,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,604602,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,37135634,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,115711,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,20615943,16.3471243,47.8915271,,
2006,2006,Import,Yemen,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,534529,16.3471243,47.8915271,,
