yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Import,Comoros,World,64,Footwear; gaiters and the like; parts of such articles,1817842,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,Brunei Darussalam,64,Footwear; gaiters and the like; parts of such articles,136,,,,
2018,2018,Import,Comoros,China,64,Footwear; gaiters and the like; parts of such articles,970067,,,35.000074,104.999927
2018,2018,Import,Comoros,France,64,Footwear; gaiters and the like; parts of such articles,21436,,,46.603354,1.8883335
2018,2018,Import,Comoros,Indonesia,64,Footwear; gaiters and the like; parts of such articles,2445,,,-2.4833826,117.8902853
2018,2018,Import,Comoros,Kenya,64,Footwear; gaiters and the like; parts of such articles,229,,,1.4419683,38.4313975
2018,2018,Import,Comoros,Madagascar,64,Footwear; gaiters and the like; parts of such articles,7272,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,Mauritius,64,Footwear; gaiters and the like; parts of such articles,823,,,-20.2759451,57.5703566
2018,2018,Import,Comoros,Namibia,64,Footwear; gaiters and the like; parts of such articles,2585,,,-23.2335499,17.3231107
2018,2018,Import,Comoros,Qatar,64,Footwear; gaiters and the like; parts of such articles,25,,,25.3336984,51.2295295
2018,2018,Import,Comoros,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,1100,,,25.6242618,42.3528328
2018,2018,Import,Comoros,India,64,Footwear; gaiters and the like; parts of such articles,35647,,,22.3511148,78.6677428
2018,2018,Import,Comoros,Thailand,64,Footwear; gaiters and the like; parts of such articles,40342,,,14.8971921,100.83273
2018,2018,Import,Comoros,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,658875,,,24.0002488,53.9994829
2018,2018,Import,Comoros,Turkey,64,Footwear; gaiters and the like; parts of such articles,925,,,38.9597594,34.9249653
2018,2018,Import,Comoros,Egypt,64,Footwear; gaiters and the like; parts of such articles,2207,,,26.2540493,29.2675469
2018,2018,Import,Comoros,United Rep. of Tanzania,64,Footwear; gaiters and the like; parts of such articles,73721,,,,
