yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,118334,,,,
2008,2008,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,96597,,,,
2008,2008,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,21734,,,,
