yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,24852,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,2188934,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,63874,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6703,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1506799,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,43724,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,102599,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,24738,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,World,World,4260192,40.7696272,44.6736646,,
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Georgia, Georgia,295563,40.7696272,44.6736646,,
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,488,40.7696272,44.6736646,,
2006,2006,Import,Armenia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,1921,40.7696272,44.6736646,,
