yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,708697,30.3308401,71.247499,39.89317229901691,61.060280637304274
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,526541,30.3308401,71.247499,51.67568633314729,27.673469819741847
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,1083952,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,24398,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,22472,30.3308401,71.247499,40.12399607988535,20.742583178432696
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,3706853,30.3308401,71.247499,6.06272746187266,22.727528470146083
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,11443812,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,4278361,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,151877,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,118394,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,25051,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,9493,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,15070,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,636838,30.3308401,71.247499,,
2016,2016,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,135816,30.3308401,71.247499,,
