yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,181440,33.7680065,66.2385139,-16.85099460447687,133.4130365630627
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,6741536,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2011946,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,2420188,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,4368408,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,4604599,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,323684,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,9413235,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,39253,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,45019,33.7680065,66.2385139,6.06272746187266,22.727528470146083
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,181898,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,8655145,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,World,World,88387032,33.7680065,66.2385139,,
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,38426541,33.7680065,66.2385139,,
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,66453,33.7680065,66.2385139,,
2015,2015,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2791654,33.7680065,66.2385139,,
