yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,55891256,31.17,-7.33,-16.85099460447687,133.4130365630627
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1238093,31.17,-7.33,37.977378106878206,73.97804075806764
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,2501736,31.17,-7.33,51.67568633314729,27.673469819741847
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,2939963,31.17,-7.33,,
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,10465689,31.17,-7.33,17.925141963241547,-78.01492950057497
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,112810366,31.17,-7.33,43.897683433510366,-100.08947125585888
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,7266711,31.17,-7.33,59.36075159783851,25.01346951967388
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,46,31.17,-7.33,10.528384761701911,103.08333472012376
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1767778,31.17,-7.33,40.12399607988535,20.742583178432696
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,6494210,31.17,-7.33,,
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,258733,31.17,-7.33,26.42921218083572,52.86847103284948
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,98013844,31.17,-7.33,47.92172048214207,7.866753258497997
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,304687685,31.17,-7.33,,
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,2629,31.17,-7.33,,
2013,2013,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,37016,31.17,-7.33,,
