yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,9201024,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,3146,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1283665,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1048706,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,599287,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,651926,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,2981482,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1782152,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,149024,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,204510,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,3325,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1509714,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,23448912,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,World,World,111641637,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,23867,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,391711,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,2442628,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,527453,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,210067,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,2593935,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,469903,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,4546,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,56435403,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,6749,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,4142560,25.3336984,51.2295295,,
2006,2006,Import,Qatar,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,231379,25.3336984,51.2295295,,
