yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,345445,31.1667049,36.941628,37.977378106878206,73.97804075806764
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,2568008,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,48982,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,555578,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1136883,31.1667049,36.941628,59.36075159783851,25.01346951967388
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,660499,31.1667049,36.941628,10.528384761701911,103.08333472012376
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,1921,31.1667049,36.941628,25.499703063807168,75.5024015339642
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,2143211,31.1667049,36.941628,40.12399607988535,20.742583178432696
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,59482,31.1667049,36.941628,6.06272746187266,22.727528470146083
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,4791125,31.1667049,36.941628,26.42921218083572,52.86847103284948
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,5057716,31.1667049,36.941628,47.92172048214207,7.866753258497997
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,21668877,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,200540,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,8478,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,215198,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,26284,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,36790,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1587135,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,85838,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,920055,31.1667049,36.941628,,
2008,2008,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Yemen, Yemen,16643,31.1667049,36.941628,,
