yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,1057156,31.46,34.26,37.977378106878206,73.97804075806764
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,1982,31.46,34.26,,
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,44884,31.46,34.26,10.528384761701911,103.08333472012376
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,135380,31.46,34.26,40.12399607988535,20.742583178432696
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,10,31.46,34.26,6.06272746187266,22.727528470146083
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,514638,31.46,34.26,26.42921218083572,52.86847103284948
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,7025,31.46,34.26,47.92172048214207,7.866753258497997
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,4009032,31.46,34.26,,
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Georgia, Georgia,1218,31.46,34.26,,
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,2183205,31.46,34.26,,
2010,2010,Import,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,280,31.46,34.26,,
