yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,281537
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,425021
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,317025
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,405087
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1396841
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,182972
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,69861
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1163895
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,7140721
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,8440557
2011,2011,Import,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,27742493
