yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,13713,31.17,-7.33,-16.85099460447687,133.4130365630627
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,98770453,31.17,-7.33,39.89317229901691,61.060280637304274
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,614264,31.17,-7.33,37.977378106878206,73.97804075806764
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,830821503,31.17,-7.33,51.67568633314729,27.673469819741847
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,10118724,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,20408164,31.17,-7.33,17.925141963241547,-78.01492950057497
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,18654935,31.17,-7.33,43.897683433510366,-100.08947125585888
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,6998317,31.17,-7.33,59.36075159783851,25.01346951967388
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,270,31.17,-7.33,10.528384761701911,103.08333472012376
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,29234,31.17,-7.33,25.499703063807168,75.5024015339642
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,93710169,31.17,-7.33,40.12399607988535,20.742583178432696
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,626827,31.17,-7.33,6.06272746187266,22.727528470146083
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,35547,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,10017602,31.17,-7.33,26.42921218083572,52.86847103284948
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,160639884,31.17,-7.33,47.92172048214207,7.866753258497997
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,1730672084,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,2093870,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,7007807,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,3056,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,58480282,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Mauritania, Mauritania,19650,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,347404612,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,47407,31.17,-7.33,,
2008,2008,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,63709132,31.17,-7.33,,
