yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,23680,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,80,30.3308401,71.247499,1.0108650891006263,147.3257485906919
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2875,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,203521,30.3308401,71.247499,59.36075159783851,25.01346951967388
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2597242,30.3308401,71.247499,10.528384761701911,103.08333472012376
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,578409,30.3308401,71.247499,25.499703063807168,75.5024015339642
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,372523,30.3308401,71.247499,6.06272746187266,22.727528470146083
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,701617,30.3308401,71.247499,47.92172048214207,7.866753258497997
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7335591,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,79847,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,19071,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,945,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,785,30.3308401,71.247499,,
2013,2013,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,2754996,30.3308401,71.247499,,
