yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,6900,26.82,18.12,37.977378106878206,73.97804075806764
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,9849003,26.82,18.12,51.67568633314729,27.673469819741847
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,11671639,26.82,18.12,,
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1486022,26.82,18.12,40.12399607988535,20.742583178432696
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,2291236,26.82,18.12,,
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,4765280,26.82,18.12,26.42921218083572,52.86847103284948
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,160052,26.82,18.12,47.92172048214207,7.866753258497997
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,World,World,31020934,26.82,18.12,,
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Georgia, Georgia,15300,26.82,18.12,,
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Malta, Malta,16598,26.82,18.12,,
2016,2016,Import,Libya,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,717372,26.82,18.12,,
