yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,3920,,,37.977378106878206,73.97804075806764
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,28291,,,51.67568633314729,27.673469819741847
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,203686,,,,
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,20042,,,17.925141963241547,-78.01492950057497
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,278513,,,59.36075159783851,25.01346951967388
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,37609,,,10.528384761701911,103.08333472012376
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,261659,,,40.12399607988535,20.742583178432696
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,7243929,,,26.42921218083572,52.86847103284948
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,2852511,,,47.92172048214207,7.866753258497997
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,12543687,,,,
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,473431,,,,
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,13670,,,,
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,891124,,,,
2010,2010,Import,Syria,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,157386,,,,
