yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,7799210,25.62,42.35,-16.85099460447687,133.4130365630627
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,3060270,25.62,42.35,37.977378106878206,73.97804075806764
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1519202,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,188000,25.62,42.35,17.925141963241547,-78.01492950057497
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,15212019,25.62,42.35,43.897683433510366,-100.08947125585888
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,4590672,25.62,42.35,59.36075159783851,25.01346951967388
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,603734,25.62,42.35,10.528384761701911,103.08333472012376
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4227472,25.62,42.35,25.499703063807168,75.5024015339642
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4510405,25.62,42.35,40.12399607988535,20.742583178432696
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,262934,25.62,42.35,6.06272746187266,22.727528470146083
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,616267,25.62,42.35,26.42921218083572,52.86847103284948
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,9034679,25.62,42.35,47.92172048214207,7.866753258497997
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,87683310,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,129600,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,50933,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,188267,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,27200,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,260800,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,194134,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,5523207,25.62,42.35,,
2003,2003,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,17967222,25.62,42.35,,
