yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,467769,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,9176,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,2473,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,294385,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,3571,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,3109,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,38487,25.3336984,51.2295295,,
2008,2008,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,116569,25.3336984,51.2295295,,
