yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,6456482,40.3936294,47.7872508,-16.85099460447687,133.4130365630627
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1300,40.3936294,47.7872508,37.977378106878206,73.97804075806764
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,6133596,40.3936294,47.7872508,51.67568633314729,27.673469819741847
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,49161,40.3936294,47.7872508,17.925141963241547,-78.01492950057497
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,103333,40.3936294,47.7872508,43.897683433510366,-100.08947125585888
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1166131,40.3936294,47.7872508,59.36075159783851,25.01346951967388
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,553468,40.3936294,47.7872508,25.499703063807168,75.5024015339642
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,6804,40.3936294,47.7872508,40.12399607988535,20.742583178432696
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2423629,40.3936294,47.7872508,26.42921218083572,52.86847103284948
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1435283,40.3936294,47.7872508,47.92172048214207,7.866753258497997
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;,World,World,18422574,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,5400,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,13903,40.3936294,47.7872508,,
2004,2004,Import,Azerbaijan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,36379,40.3936294,47.7872508,,
