yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,732097,,,-36.8535712,174.7456809
2016,2016,Export,Kuwait,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,33469,,,21.0000287,57.0036901
2016,2016,Export,Kuwait,Netherlands,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,26045,,,52.2434979,5.6343227
2016,2016,Export,Kuwait,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,17599,,,25.3336984,51.2295295
2016,2016,Export,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,539477,,,25.6242618,42.3528328
2016,2016,Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,115105,,,24.0002488,53.9994829
2016,2016,Export,Kuwait,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,317,,,38.9597594,34.9249653
2016,2016,Export,Kuwait,Egypt,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,82,,,26.2540493,29.2675469
2018,2018,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,819058,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,Iraq,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13414,,,33.0955793,44.1749775
2018,2018,Export,Kuwait,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3594,,,21.0000287,57.0036901
2018,2018,Export,Kuwait,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,33236,,,25.3336984,51.2295295
2018,2018,Export,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,575555,,,25.6242618,42.3528328
2018,2018,Export,Kuwait,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5272,,,34.6401861,39.0494106
2018,2018,Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,182309,,,24.0002488,53.9994829
2018,2018,Export,Kuwait,Yemen,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5678,,,16.3471243,47.8915271
2019,2019,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1122494,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,31524,,,21.0000287,57.0036901
2019,2019,Export,Kuwait,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,40131,,,25.3336984,51.2295295
2019,2019,Export,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,694946,,,25.6242618,42.3528328
2019,2019,Export,Kuwait,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,89456,,,34.6401861,39.0494106
2019,2019,Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,261120,,,24.0002488,53.9994829
2019,2019,Export,Kuwait,Yemen,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5317,,,16.3471243,47.8915271
2020,2020,Export,Kuwait,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,739811,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,Oman,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8698,,,21.0000287,57.0036901
2020,2020,Export,Kuwait,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,57292,,,25.3336984,51.2295295
2020,2020,Export,Kuwait,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,536561,,,25.6242618,42.3528328
2020,2020,Export,Kuwait,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,137260,,,24.0002488,53.9994829
