yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,524,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,44286,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,8887,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,40386,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,134082,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,21781,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,558801,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,21597914,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,240285,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,380837,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2004,2004,Import,Malta,25,Salt; sulfur; earths and stone; plastering materials,World,World,23459982,35.8885993,14.4476911,,
