yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,1437582
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,1899
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,26131859
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1993
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,175557
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,12765
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,28405
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,367290
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,6703247
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3305401
2006,2006,Import,Georgia,11,Products of the milling industry; malt; starches; inulin,World,World,39648664
