yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1836930,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1199034,26.8234472,18.1236723,,
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,240,26.8234472,18.1236723,17.925141963241547,-78.01492950057497
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,554005,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,23293,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,281546,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1166096,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1048655,26.8234472,18.1236723,,
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1626323,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,557453,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8470584,26.8234472,18.1236723,,
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, Malta, Malta,17000,26.8234472,18.1236723,,
2017,2017,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,38000,26.8234472,18.1236723,,
