yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,58437,25.62,42.35,-16.85099460447687,133.4130365630627
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,44348941,25.62,42.35,37.977378106878206,73.97804075806764
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,580635,25.62,42.35,,
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,606251,25.62,42.35,43.897683433510366,-100.08947125585888
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1408361,25.62,42.35,59.36075159783851,25.01346951967388
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,3076619,25.62,42.35,10.528384761701911,103.08333472012376
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,1853176,25.62,42.35,40.12399607988535,20.742583178432696
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,369301,25.62,42.35,6.06272746187266,22.727528470146083
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,3690875,25.62,42.35,26.42921218083572,52.86847103284948
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,11065955,25.62,42.35,47.92172048214207,7.866753258497997
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,73303582,25.62,42.35,,
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,396251,25.62,42.35,,
2007,2007,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,33088,25.62,42.35,,
