yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,366912,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,51480068,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,114889,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,825200,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,90709,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1313206,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1154048,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,19672883,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,6743996,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,9799578,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,650493,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1486806,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,5870345,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,309793816,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,45022,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,5099409,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,92476,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,1135666,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,1371127,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,4099932,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,11148861,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,138605862,25.3336984,51.2295295,,
2006,2006,Import,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,269,25.3336984,51.2295295,,
