yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,70375
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,40
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,295821
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,11
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,302
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,12
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,236178
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,92
2005,2005,Export,Georgia,25,Salt; sulfur; earths and stone; plastering materials,World,World,18461459
