yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1545094,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1670528,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,8722,26.8234472,18.1236723,17.925141963241547,-78.01492950057497
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,200386,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,350124,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,11704,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,17641855,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,513006,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,11204409,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,6306723,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,47839543,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,549629,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials, Malta, Malta,539022,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,48546,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,137076,26.8234472,18.1236723,,
2008,2008,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,36030,26.8234472,18.1236723,,
