yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,941128,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,56852,25.62,42.35,,
2005,2005,Re-Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,884276,25.62,42.35,,
