yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,1231,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,8514,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,24135,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,53556,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,31675,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,150941,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,86,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin,World,World,2559229,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,57316,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Georgia, Georgia,1015,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,77592,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,368639,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,61765,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,99547,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,75555,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,533198,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,424279,34.9823018,33.1451285,,
2004,2004,Export,Cyprus,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,12612,34.9823018,33.1451285,,
